source,title,location,price,rooms,bathrooms,parking_spaces,area,antiguedad,alcaldia,colonia_o_municipio,latitud,longitud,cat_mean_valor_suelo_200m,cat_mean_vus_200m,cat_mean_antiguedad_200m,cat_std_valor_suelo_200m,cat_mean_ratio_construccion_200m,cat_density_predios_200m,dist_metro_m,density_metro,dist_tren_m,density_tren,dist_trole_m,density_trole,dist_cable_m,density_cable,dist_metrobus_m,density_metrobus,comercio_density,marginalidad_score,alc,pct_migrantes_turistas,dist_ciclovia_m,densidad_ciclovia_15m,dist_area_verde_m,densidad_parques_15m,dist_salud_m,acceso_salud_15m,dist_escuela_m,acceso_educacion_15m,score_15min,prox_ciclovia,prox_parque,prox_salud,prox_escuela,uso_mixto,price_m2_raw,listing_density_local,listing_density_log,precio_vecinal_local,dist_nearest_subcenter_m,dist_subcenter_log,gentrification_index,spatial_lag_price,lag_x_area,is_luxury,area_x_marginalidad,area_X_gentrif,gentrif_x_metro,15min_X_gentrif,verde_marginalidad_ratio,salud_marginalidad_ratio,educacion_marginalidad_ratio,cluster,precio_predicho,gentrif_local_presion,gentrif_map_score,error_pct,segmento
Casas_iad_inmobiliaria.xlsx,CAMPESTRE-CHURUBUSCO-CASA-VENTA,"Campestre Churubusco, CP 04200, Ciudad de México",10800000.0,4.0,4.0,3.0,312.0,3.713572066704308,Coyoacán,CP 04200,19.346188,-99.1356291,583845.144870429,4091.480000000001,47.36117381489842,751215.2386520271,2.1892116943597064,443,6.197191158342784,1,6.365145236114361,0,6.3242385430016395,0,8.946723261824479,0,7.808083890475874,0,2.0794415416798357,2.0,coyoacan,0.07973496801885356,6.8309359160709775,11,4.420292950270081,131,7.894407031225752,0,4.752740122060228,49,0.367816091954023,0.15721920495535438,0.8485372756788899,0.035030075852265,0.8257176517895165,0.0,34615.38461538462,63,4.1588830833596715,37251.63503763185,4304.480405961704,8.367644003193732,0.750956198657275,10.508769804876275,60.385526581432075,0,11.492406381080306,234.29833398106982,0.750956198657275,0.2762137742187678,3.7992275112828016,0.0,2.8526314299133175,2,12314625.494351111,0.4478974994007922,0.6751915238431543,14.024310132880661,Estandar
Casas_iad_inmobiliaria.xlsx,"Casa en Venta en la colonia Miguel Hidalgo 2a Secc al sur de la CDMX, en Tlalpan","Miguel Hidalgo 2A Sección, CP 14250, Ciudad de México",6500000.0,4.0,3.0,2.0,242.0,3.258096538021482,Miguel Hidalgo,"2A Sección, CP 14250",19.4347,-99.2009,3552239.9709389578,17660.885062034744,30.89578163771712,19528413.748990513,3.5284299111801474,403,6.962026824562911,0,9.384649754333855,0,7.52467168141397,0,7.861021559451409,0,6.780582532363584,0,2.4849066497880004,1.0,miguel hidalgo,0.13627761829254784,3.5992916410964795,120,4.037887891324134,157,6.846828517583762,1,5.472087733380157,32,0.5938697318007663,0.931327177200094,0.8945693120531493,0.3088606163585652,0.6737289230292731,0.0,26859.504132231406,351,5.863631175598097,34027.91553665468,547.6937116891909,6.307540383618707,0.8585849060226639,10.1405893044157,55.702880120837435,0,5.493061443340548,207.77754725748466,0.0,0.5098875878678656,4.375757021660286,0.4054651081081644,2.833213344056216,1,6550685.198207771,0.4488818028371987,0.7561591302262975,0.7797722801195601,Estandar
Casas_iad_inmobiliaria.xlsx,CASA EN VENTA EN LINDAVISTA,"Valle del Tepeyac, CP 07740, Ciudad de México",7550000.0,3.0,3.0,3.0,180.0,0.0,Gustavo A. Madero,"Valle del , CP 07740",19.4875,-99.15,634585.5968044716,2903.623658536586,39.0609756097561,601793.9583556498,2.1887212625904664,246,6.086153734554909,1,9.676993803323349,0,6.319355487545194,0,8.020234021029113,0,5.725429916150128,2,0.6931471805599453,1.0,gustavo a. madero,0.04974209189481407,6.310740739503552,30,5.861294123316229,36,7.28148902172911,0,6.017003250226035,34,0.19348659003831417,0.3332357506590056,0.49640823504480225,0.16280734105454117,0.5054808759504755,0.0,41944.444444444445,18,2.9444389791664403,26650.324123774153,6325.615566183193,8.752520706463695,0.829803447501769,10.21013804045303,53.07737229210935,0,5.198497031265826,149.36462055031842,0.829803447501769,0.16055583945915455,2.9444389791664403,0.0,2.8903717578961645,1,5347847.989556706,0.5909474242766649,0.770089441695493,-29.167576297262176,Estandar
Casas_iad_inmobiliaria.xlsx,Se Vende casa en privada  de Cataratas  en las Aguilas,"Ampliación Las Águilas, CP 01759, Ciudad de México",14500000.0,3.0,3.0,3.0,330.0,3.044522437723423,Álvaro Obregón,"Ampliación , CP 01759",19.3490912,-99.2200317,365954.3545986928,1955.7599999999993,26.65359477124183,394649.01811118604,2.79894175985284,459,8.163968822182664,0,8.999352692201674,0,8.13529791940305,0,8.313835258821863,0,8.097168607558618,0,2.3978952727983707,4.0,alvaro obregon,0.06015392281974709,6.992122856919178,2,5.650258576885293,39,7.298827247866606,0,5.729485207093189,26,0.12835249042145594,0.113715278539162,0.567377749020369,0.15771650175520338,0.5996846883565579,0.0,43939.393939393936,72,4.290459441148391,31011.869573392738,5801.807661618412,8.666097158995166,0.0,10.115908684465134,58.69369966177157,0,23.20847350150825,0.0,0.0,0.0,2.174751721484161,0.0,1.824549292051046,0,4881257.31324287,0.5878621172076817,0.14696552930192042,-66.336156460394,Estandar
Casas_iad_inmobiliaria.xlsx,"Se Vende Casa para Remodelar en Rancho Cosolapan, Coyoacpán, cdmx","Campestre Coyoacán, CP 04938, Ciudad de México",7300000.0,4.0,4.0,4.0,230.0,3.9318256327243257,Coyoacán,"Campestre , CP 04938",19.3091807,-99.116957,643810.328800752,3470.784285714286,32.44862155388471,225084.6953079478,1.3825166402016213,399,7.813260811059683,0,7.820768971436917,0,7.808842058506066,0,8.846609079201567,0,6.402969708442224,0,3.4011973816621555,1.0,coyoacan,0.07973496801885356,7.506213479610844,0,3.5663673196191663,247,7.2310907906377855,0,5.680678988002047,51,0.5708812260536399,0.02634114149264988,0.9335361294235274,0.17801079684395654,0.6145198726073375,0.0,31739.130434782608,39,3.6888794541139363,39150.81801669892,8721.381888645521,9.073647631971316,0.750956198657275,10.499966379485306,57.145202983594224,0,5.442417710521793,172.71992569117324,0.0,0.4287067954020459,4.824305715904762,0.0,3.2771447329921766,2,8971548.480127605,0.45596848247920474,0.6772092696127574,22.897924385309654,Estandar
Casas_iad_inmobiliaria.xlsx,¡Venta! Casa con uso de suelo mixto en Ejército Nacional-Anzures,"Anzures, CP 11590, Ciudad de México",18000000.0,4.0,3.0,2.0,393.0,3.828641396489095,Miguel Hidalgo,CP 11590,19.4320972,-99.1771646,1778545.3786382116,11535.007276422764,41.15447154471545,2140602.160328701,3.276685622682172,492,7.138444440512336,0,9.260615344119678,0,6.000480960116047,0,7.85901711201472,0,6.8470409573674225,0,2.772588722239781,1.0,miguel hidalgo,0.13627761829254784,6.24738915168328,117,3.9055533963780587,104,7.58905433611039,0,5.0564032933316065,49,0.5172413793103449,0.3565344993311851,0.9072337653672027,0.0846437105190035,0.7710198094171709,0.0,45801.52671755725,71,4.276666119016055,47356.349061504094,1126.4780706862261,7.027738621685451,0.8585849060226639,10.717922899134543,64.05406826402788,0,5.976350909297934,337.4238680669069,0.0,0.4440956410462055,3.970291913552122,0.0,3.2386784521643803,1,17660613.361901958,0.4325345084671015,0.7520723066337733,-1.8854813227669025,Estandar
Casas_iad_inmobiliaria.xlsx,"Venta de Casa en Campestre Churubusco, Coyoacán, CDMX","Campestre Churubusco, CP 04200, Ciudad de México",10550000.0,4.0,4.0,3.0,312.0,2.4849066497880004,Coyoacán,CP 04200,19.346188,-99.1356291,583845.144870429,4091.480000000001,47.36117381489842,751215.2386520271,2.1892116943597064,443,6.197191158342784,1,6.365145236114361,0,6.3242385430016395,0,8.946723261824479,0,7.808083890475874,0,2.0794415416798357,2.0,coyoacan,0.07973496801885356,6.8309359160709775,11,4.420292950270081,131,7.894407031225752,0,4.752740122060228,49,0.367816091954023,0.15721920495535438,0.8485372756788899,0.035030075852265,0.8257176517895165,0.0,33814.10256410256,63,4.1588830833596715,37251.63503763185,4304.480405961704,8.367644003193732,0.750956198657275,10.508769804876275,60.385526581432075,0,11.492406381080306,234.29833398106982,0.750956198657275,0.2762137742187678,3.7992275112828016,0.0,2.8526314299133175,2,12428547.40189969,0.44211333172324124,0.6737454819237666,17.806136510897534,Estandar
Casas_iad_inmobiliaria.xlsx,"Venta de Casa en Condominio en Cuitláhuac, Col. Toriello Guerra, Tlalpan, CDMX","Toriello Guerra, CP 14050, Ciudad de México",8000000.0,3.0,3.0,3.0,247.0,3.044522437723423,Tlalpan,CP 14050,19.2944916,-99.1628698,950167.602540458,3034.9226717557253,36.3206106870229,2084718.9948866926,2.0439847342830797,262,8.161634048302465,0,7.18748301337609,0,7.646471597830682,0,9.386506075316161,0,7.259491588884248,0,2.5649493574615367,2.0,tlalpan,0.07138999608667294,7.167292315321341,0,4.490055105552313,84,5.984302162599254,8,4.668992674298622,52,0.27586206896551724,0.07497057406263083,0.8384060794402054,0.6094602179786917,0.8386315171060381,0.0,32388.663967611337,307,5.730099782973574,34052.59225071725,8777.320955699339,9.080040433227426,0.3919311241687132,10.4962480013589,57.87031545756891,0,11.026857492329965,96.80698766967215,0.0,0.10811893080516226,3.367295829986474,1.2992829841302609,2.908720896564361,2,11321972.58464635,0.49381862049062525,0.4174029982491912,41.52465730807937,Estandar
Casas_iad_inmobiliaria.xlsx,"CASA EN VENTA, AMPLIACION MIGUEL HIDALGO 4A SECC, TLALPAN , CDMX MEXICO","Miguel Hidalgo 4A Sección, CP 14250, Ciudad de México",4500000.0,3.0,2.0,3.0,193.0,2.9444389791664403,Miguel Hidalgo,"4A Sección, CP 14250",19.4347,-99.2009,3552239.9709389578,17660.885062034744,30.89578163771712,19528413.748990513,3.5284299111801474,403,6.962026824562911,0,9.384649754333855,0,7.52467168141397,0,7.861021559451409,0,6.780582532363584,0,2.4849066497880004,1.0,miguel hidalgo,0.13627761829254784,3.5992916410964795,120,4.037887891324134,157,6.846828517583762,1,5.472087733380157,32,0.5938697318007663,0.931327177200094,0.8945693120531493,0.3088606163585652,0.6737289230292731,0.0,23316.062176165804,351,5.863631175598097,34027.91553665468,547.6937116891909,6.307540383618707,0.8585849060226639,10.1405893044157,53.41918610497657,0,5.267858159063328,165.70688686237415,0.0,0.5098875878678656,4.375757021660286,0.4054651081081644,2.833213344056216,1,6197413.497947643,0.41419091328063623,0.7474864078371569,37.720299954392054,Estandar
Casas_iad_inmobiliaria.xlsx,PRECIOSA CASA EN JARDINES DEL PEDREGAL COYOACAN,"Jardines del Pedregal de San Ángel, CP 04500, Ciudad de México",22000000.0,4.0,4.0,3.0,500.0,3.4339872044851463,Álvaro Obregón,"Jardines del Pedregal de , CP 04500",19.3067981,-99.1981595,5630313.240499999,5216.900000000001,40.083333333333336,3391702.4158585053,0.6987381645762712,12,8.07158875289412,0,8.535610015415019,0,7.170503366952543,0,9.134324037909593,0,7.169858177502013,0,2.772588722239781,1.0,alvaro obregon,0.06015392281974709,6.131670154251856,37,4.320161901035409,72,7.160663817698355,0,6.524675768185132,17,0.2413793103448276,0.3991538840453819,0.8620848280164006,0.20019630607319078,0.321551417977884,0.0,44000.0,115,4.7535901911063645,40157.27900161337,8213.728806611767,9.013684017949805,0.0,10.687839934278383,66.44209094285345,0,6.2166061010848646,0.0,0.0,0.0,3.6109179126442243,0.0,2.2512917986064953,2,19934600.77622256,0.5019204611188293,0.12548011527970732,-9.388178289897452,Estandar
